request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_36,583.74,affordable_with_plan,installments,2026-07-17:250.42|2026-08-17:250.42|2026-09-17:250.42|2026-10-17:250.42|2026-11-17:250.42|2026-12-17:250.42|2027-01-17:250.42|2027-02-17:250.42|2027-03-17:250.42|2027-04-17:250.42|2027-05-17:250.42|2027-06-17:250.42|2027-07-17:250.42|2027-08-17:250.42|2027-09-17:250.42|2027-10-17:250.42|2027-11-17:250.42|2027-12-17:250.42,2026-09-15,none,"Use 18 installments of USD 250.42, starting 17 July 2026. This leaves at least USD 2,983.74 available."
request_37,4386714.87,affordable_with_plan,installments,2024-03-05:823134.29|2024-04-05:823134.29|2024-05-05:823134.29|2024-06-05:823134.29|2024-07-05:823134.29|2024-08-05:823134.29|2024-09-05:823134.29|2024-10-05:823134.29|2024-11-05:823134.29|2024-12-05:823134.29|2025-01-05:823134.29|2025-02-05:823134.29|2025-03-05:823134.29|2025-04-05:823134.29|2025-05-05:823134.29|2025-06-05:823134.29|2025-07-05:823134.29|2025-08-05:823134.29|2025-09-05:823134.29|2025-10-05:823134.29|2025-11-05:823134.29,2024-03-05,none,"Use 21 installments of IDR 823,134.29, starting 05 March 2024. This leaves at least IDR 19,648,613.28 available."
request_38,203.02,affordable_with_plan,installments,2025-08-10:71.23|2025-09-10:71.23|2025-10-10:71.23|2025-11-10:71.23|2025-12-10:71.23|2026-01-10:71.23|2026-02-10:71.23|2026-03-10:71.23|2026-04-10:71.23|2026-05-10:71.23|2026-06-10:71.23|2026-07-10:71.23|2026-08-10:71.23|2026-09-10:71.23|2026-10-10:71.23,2025-10-15,none,"Use 15 installments of EUR 71.23, starting 10 August 2025. This leaves at least EUR 531.79 available."
request_39,57745.68,affordable_with_plan,installments,2026-04-11:13211.33|2026-05-11:13211.33|2026-06-11:13211.33|2026-07-11:13211.33|2026-08-11:13211.33|2026-09-11:13211.33|2026-10-11:13211.33|2026-11-11:13211.33|2026-12-11:13211.33|2027-01-11:13211.33|2027-02-11:13211.33|2027-03-11:13211.33|2027-04-11:13211.33|2027-05-11:13211.33|2027-06-11:13211.33|2027-07-11:13211.33|2027-08-11:13211.33|2027-09-11:13211.33,2026-06-15,none,"Use 18 installments of INR 13,211.33, starting 11 April 2026. This leaves at least INR 257,934.35 available."
request_40,352.14,affordable_with_plan,installments,2024-06-20:72.50|2024-07-20:72.50|2024-08-20:72.50|2024-09-20:72.50|2024-10-20:72.50|2024-11-20:72.50|2024-12-20:72.50|2025-01-20:72.50|2025-02-20:72.50|2025-03-20:72.50|2025-04-20:72.50|2025-05-20:72.50|2025-06-20:72.50|2025-07-20:72.50|2025-08-20:72.50|2025-09-20:72.50|2025-10-20:72.50|2025-11-20:72.50|2025-12-20:72.50|2026-01-20:72.50|2026-02-20:72.50,2024-06-06,none,"Use 21 installments of EUR 72.50, starting 20 June 2024. This leaves at least EUR 1,852.14 available."
request_41,8954995.5,affordable_with_plan,installments,2025-11-03:2842400|2025-12-03:2842400|2026-01-03:2842400|2026-02-03:2842400|2026-03-03:2842400|2026-04-03:2842400|2026-05-03:2842400|2026-06-03:2842400|2026-07-03:2842400|2026-08-03:2842400|2026-09-03:2842400|2026-10-03:2842400|2026-11-03:2842400|2026-12-03:2842400|2027-01-03:2842400,2026-01-15,none,"Use 15 installments of IDR 2,842,400, starting 03 November 2025. This leaves at least IDR 31,479,195.50 available."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 115,071.21 available over the next 90 days."
request_43,8352318.13,affordable_with_plan,installments,2024-09-14:2435239.05|2024-10-14:2435239.05|2024-11-14:2435239.05|2024-12-14:2435239.05|2025-01-14:2435239.05|2025-02-14:2435239.05|2025-03-14:2435239.05|2025-04-14:2435239.05|2025-05-14:2435239.05|2025-06-14:2435239.05|2025-07-14:2435239.05|2025-08-14:2435239.05|2025-09-14:2435239.05|2025-10-14:2435239.05|2025-11-14:2435239.05|2025-12-14:2435239.05|2026-01-14:2435239.05|2026-02-14:2435239.05|2026-03-14:2435239.05|2026-04-14:2435239.05|2026-05-14:2435239.05,2024-11-15,none,"Use 21 installments of IDR 2,435,239.05, starting 14 September 2024. This leaves at least IDR 27,315,079.08 available."
request_44,30099.97,affordable_with_plan,installments,2025-02-18:7025.33|2025-03-18:7025.33|2025-04-18:7025.33|2025-05-18:7025.33|2025-06-18:7025.33|2025-07-18:7025.33|2025-08-18:7025.33|2025-09-18:7025.33|2025-10-18:7025.33|2025-11-18:7025.33|2025-12-18:7025.33|2026-01-18:7025.33|2026-02-18:7025.33|2026-03-18:7025.33|2026-04-18:7025.33,2025-02-04,none,"Use 15 installments of INR 7,025.33, starting 18 February 2025. This leaves at least INR 112,999.97 available."
request_45,3370671.03,affordable_with_plan,installments,2026-07-06:1392256.67|2026-08-06:1392256.67|2026-09-06:1392256.67|2026-10-06:1392256.67|2026-11-06:1392256.67|2026-12-06:1392256.67|2027-01-06:1392256.67|2027-02-06:1392256.67|2027-03-06:1392256.67|2027-04-06:1392256.67|2027-05-06:1392256.67|2027-06-06:1392256.67|2027-07-06:1392256.67|2027-08-06:1392256.67|2027-09-06:1392256.67|2027-10-06:1392256.67|2027-11-06:1392256.67|2027-12-06:1392256.67,2026-09-15,none,"Use 18 installments of IDR 1,392,256.67, starting 06 July 2026. This leaves at least IDR 13,128,214.36 available."
request_46,34920.47,affordable_with_plan,partial_payment,2024-12-03:34920.47|2024-12-15:14529.53,2024-12-15,none,"Pay INR 34,920.47 today and the remaining INR 14,529.53 on 15 December 2024. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 63,191,137.26 available over the next 90 days."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 78,671.13 available over the next 90 days."
request_49,12549160.48,affordable_with_plan,installments,2024-03-04:1929187.62|2024-04-04:1929187.62|2024-05-04:1929187.62|2024-06-04:1929187.62|2024-07-04:1929187.62|2024-08-04:1929187.62|2024-09-04:1929187.62|2024-10-04:1929187.62|2024-11-04:1929187.62|2024-12-04:1929187.62|2025-01-04:1929187.62|2025-02-04:1929187.62|2025-03-04:1929187.62|2025-04-04:1929187.62|2025-05-04:1929187.62|2025-06-04:1929187.62|2025-07-04:1929187.62|2025-08-04:1929187.62|2025-09-04:1929187.62|2025-10-04:1929187.62|2025-11-04:1929187.62,2024-05-15,none,"Use 21 installments of IDR 1,929,187.62, starting 04 March 2024. This leaves at least IDR 30,895,672.86 available."
request_50,42859.19,affordable_with_plan,full_payment,2025-08-06:43900,2025-08-06,stop:event_4679,"Stop the cloud storage, then pay INR 43,900 today. This leaves at least INR 101,614.19 available."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 28,324,967.49 available over the next 90 days."
request_52,18945.1,affordable_with_plan,partial_payment,2024-06-05:18945.10|2024-06-15:9924.90,2024-06-15,none,"Pay INR 18,945.10 today and the remaining INR 9,924.90 on 15 June 2024. This completes the full request and keeps the INR 41,500 minimum protected."
request_53,460.69,affordable_with_plan,installments,2025-11-07:124.61|2025-12-07:124.61|2026-01-07:124.61|2026-02-07:124.61|2026-03-07:124.61|2026-04-07:124.61|2026-05-07:124.61|2026-06-07:124.61|2026-07-07:124.61|2026-08-07:124.61|2026-09-07:124.61|2026-10-07:124.61|2026-11-07:124.61|2026-12-07:124.61|2027-01-07:124.61,2026-01-15,none,"Use 15 installments of USD 124.61, starting 07 November 2025. This leaves at least USD 2,436.08 available."
request_54,1987.34,affordable_with_plan,installments,2026-07-18:6177.67|2026-08-18:6177.67|2026-09-18:6177.67|2026-10-18:6177.67|2026-11-18:6177.67|2026-12-18:6177.67|2027-01-18:6177.67|2027-02-18:6177.67|2027-03-18:6177.67|2027-04-18:6177.67|2027-05-18:6177.67|2027-06-18:6177.67|2027-07-18:6177.67|2027-08-18:6177.67|2027-09-18:6177.67|2027-10-18:6177.67|2027-11-18:6177.67|2027-12-18:6177.67|2028-01-18:6177.67|2028-02-18:6177.67|2028-03-18:6177.67|2028-04-18:6177.67|2028-05-18:6177.67|2028-06-18:6177.67,2026-07-04,none,"Use 24 installments of ZAR 6,177.67, starting 18 July 2026. This leaves at least ZAR 38,987.34 available."
request_55,129827.49,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-11:75781.33|2026-08-11:75781.33,2026-07-15,none,"Use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 134,386.03 available."
request_56,634.02,affordable_with_plan,partial_payment,2025-02-03:634.02|2025-02-15:247.54,2025-02-15,none,"Pay USD 634.02 today and the remaining USD 247.54 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,12907.47,affordable_with_plan,installments,2026-04-05:3891.58|2026-05-05:3891.58|2026-06-05:3891.58|2026-07-05:3891.58|2026-08-05:3891.58|2026-09-05:3891.58|2026-10-05:3891.58|2026-11-05:3891.58|2026-12-05:3891.58|2027-01-05:3891.58|2027-02-05:3891.58|2027-03-05:3891.58|2027-04-05:3891.58|2027-05-05:3891.58|2027-06-05:3891.58|2027-07-05:3891.58|2027-08-05:3891.58|2027-09-05:3891.58,2026-06-15,none,"Use 18 installments of ZAR 3,891.58, starting 05 April 2026. This leaves at least ZAR 51,715.89 available."
request_58,14733440.84,affordable_with_plan,full_payment,2024-12-07:16226000,2024-12-07,stop:event_5357|stop:event_5358,"Stop the delivery membership and Stop the gym, then pay IDR 16,226,000 today. This leaves at least IDR 15,700,140.84 available."
request_59,140600.0,affordable_now,full_payment,2025-05-04:140600,2025-05-04,none,"Pay INR 140,600 today. This leaves at least INR 367,509.99 available over the next 90 days."
request_60,130.85,affordable_with_plan,partial_payment,2026-01-06:130.85|2026-01-15:69.04,2026-01-15,none,Pay USD 130.85 today and the remaining USD 69.04 on 15 January 2026. This completes the full request and keeps the USD 400 minimum protected.
request_61,29062.0,affordable_now,full_payment,2024-03-03:29062,2024-03-03,none,"Pay ZAR 29,062 today. This leaves at least ZAR 39,633.96 available over the next 90 days."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 4,483.81 available over the next 90 days."
request_63,48485.03,affordable_with_plan,installments,2026-07-14:21780.33|2026-08-14:21780.33|2026-09-14:21780.33|2026-10-14:21780.33|2026-11-14:21780.33|2026-12-14:21780.33|2027-01-14:21780.33|2027-02-14:21780.33|2027-03-14:21780.33|2027-04-14:21780.33|2027-05-14:21780.33|2027-06-14:21780.33|2027-07-14:21780.33|2027-08-14:21780.33|2027-09-14:21780.33|2027-10-14:21780.33|2027-11-14:21780.33|2027-12-14:21780.33,2026-07-07,none,"Use 18 installments of INR 21,780.33, starting 14 July 2026. This leaves at least INR 180,204.70 available."
request_64,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,5813.57,affordable_with_plan,installments,2025-11-06:3984.93|2025-12-06:3984.93|2026-01-06:3984.93|2026-02-06:3984.93|2026-03-06:3984.93|2026-04-06:3984.93|2026-05-06:3984.93|2026-06-06:3984.93|2026-07-06:3984.93|2026-08-06:3984.93|2026-09-06:3984.93|2026-10-06:3984.93|2026-11-06:3984.93|2026-12-06:3984.93|2027-01-06:3984.93,2025-11-06,none,"Use 15 installments of ZAR 3,984.93, starting 06 November 2025. This leaves at least ZAR 17,328.64 available."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 248,138.64 available over the next 90 days."
request_67,298.57,affordable_with_plan,installments,2024-09-12:117.66|2024-10-12:117.66|2024-11-12:117.66|2024-12-12:117.66|2025-01-12:117.66|2025-02-12:117.66|2025-03-12:117.66|2025-04-12:117.66|2025-05-12:117.66|2025-06-12:117.66|2025-07-12:117.66|2025-08-12:117.66|2025-09-12:117.66|2025-10-12:117.66|2025-11-12:117.66|2025-12-12:117.66|2026-01-12:117.66|2026-02-12:117.66|2026-03-12:117.66|2026-04-12:117.66|2026-05-12:117.66,2024-11-15,none,"Use 21 installments of USD 117.66, starting 12 September 2024. This leaves at least USD 1,380.91 available."
request_68,1328.67,affordable_with_plan,installments,2025-02-21:153.38|2025-03-21:153.38|2025-04-21:153.38|2025-05-21:153.38|2025-06-21:153.38|2025-07-21:153.38|2025-08-21:153.38|2025-09-21:153.38|2025-10-21:153.38|2025-11-21:153.38|2025-12-21:153.38|2026-01-21:153.38|2026-02-21:153.38|2026-03-21:153.38|2026-04-21:153.38,2025-03-23,none,"Use 15 installments of USD 153.38, starting 21 February 2025. This leaves at least USD 2,675.29 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 725.25 available over the next 90 days.
request_70,49776.99,affordable_with_plan,installments,2024-12-09:13704.86|2025-01-09:13704.86|2025-02-09:13704.86|2025-03-09:13704.86|2025-04-09:13704.86|2025-05-09:13704.86|2025-06-09:13704.86|2025-07-09:13704.86|2025-08-09:13704.86|2025-09-09:13704.86|2025-10-09:13704.86|2025-11-09:13704.86|2025-12-09:13704.86|2026-01-09:13704.86|2026-02-09:13704.86|2026-03-09:13704.86|2026-04-09:13704.86|2026-05-09:13704.86|2026-06-09:13704.86|2026-07-09:13704.86|2026-08-09:13704.86,2025-02-15,none,"Use 21 installments of INR 13,704.86, starting 09 December 2024. This leaves at least INR 151,072.13 available."
request_71,496039.62,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 May 2025. None of the available options keeps the IDR 8,884,800 minimum protected."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,454.28 available over the next 90 days."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 109,298.69 available over the next 90 days."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 63,663.91 available over the next 90 days."
request_75,19468.61,affordable_with_plan,full_payment,2026-04-06:28270,2026-04-06,stop:event_6960|reduce_to:event_6961:419.76|reduce_to:event_6998:991.10,"Stop the streaming and Reduce the shopping to ZAR 419.76 and Reduce the dining to ZAR 991.10, then pay ZAR 28,270 today. This leaves at least ZAR 39,812.08 available."
request_76,711.23,affordable_with_plan,installments,2024-06-17:250.36|2024-07-17:250.36|2024-08-17:250.36|2024-09-17:250.36|2024-10-17:250.36|2024-11-17:250.36|2024-12-17:250.36|2025-01-17:250.36|2025-02-17:250.36|2025-03-17:250.36|2025-04-17:250.36|2025-05-17:250.36|2025-06-17:250.36|2025-07-17:250.36|2025-08-17:250.36|2025-09-17:250.36|2025-10-17:250.36|2025-11-17:250.36|2025-12-17:250.36|2026-01-17:250.36|2026-02-17:250.36,2024-06-24,none,"Use 21 installments of USD 250.36, starting 17 June 2024. This leaves at least USD 2,511.23 available."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700 today. This leaves at least INR 86,737.98 available over the next 90 days."
request_78,48330.57,affordable_with_plan,full_payment,2025-10-02:50200,2025-10-02,stop:event_7224|reduce_to:event_7225:1480,"Stop the streaming and Reduce the shopping to INR 1,480, then pay INR 50,200 today. This leaves at least INR 56,819.48 available."
request_79,312.04,affordable_with_plan,installments,2024-09-11:120.90|2024-10-11:120.90|2024-11-11:120.90|2024-12-11:120.90|2025-01-11:120.90|2025-02-11:120.90|2025-03-11:120.90|2025-04-11:120.90|2025-05-11:120.90|2025-06-11:120.90|2025-07-11:120.90|2025-08-11:120.90|2025-09-11:120.90|2025-10-11:120.90|2025-11-11:120.90|2025-12-11:120.90|2026-01-11:120.90|2026-02-11:120.90|2026-03-11:120.90|2026-04-11:120.90|2026-05-11:120.90,2024-09-04,none,"Use 21 installments of EUR 120.90, starting 11 September 2024. This leaves at least EUR 1,191.14 available."
request_80,105991.44,affordable_with_plan,installments,2025-02-20:15950|2025-03-20:15950|2025-04-20:15950|2025-05-20:15950|2025-06-20:15950|2025-07-20:15950|2025-08-20:15950|2025-09-20:15950|2025-10-20:15950|2025-11-20:15950|2025-12-20:15950|2026-01-20:15950|2026-02-20:15950|2026-03-20:15950|2026-04-20:15950,2025-02-06,none,"Use 15 installments of INR 15,950, starting 20 February 2025. This leaves at least INR 195,391.44 available."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,709.74 available over the next 90 days."
request_82,320.63,affordable_with_plan,installments,2024-12-08:78.96|2025-01-08:78.96|2025-02-08:78.96|2025-03-08:78.96|2025-04-08:78.96|2025-05-08:78.96|2025-06-08:78.96|2025-07-08:78.96|2025-08-08:78.96|2025-09-08:78.96|2025-10-08:78.96|2025-11-08:78.96|2025-12-08:78.96|2026-01-08:78.96|2026-02-08:78.96|2026-03-08:78.96|2026-04-08:78.96|2026-05-08:78.96|2026-06-08:78.96|2026-07-08:78.96|2026-08-08:78.96,2025-02-15,none,"Use 21 installments of USD 78.96, starting 08 December 2024. This leaves at least USD 1,341.67 available."
request_83,9839.3,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 June 2025. None of the available options keeps the INR 37,800 minimum protected."
request_84,30018.84,affordable_with_plan,installments,2026-04-18:6042|2026-05-18:6042|2026-06-18:6042|2026-07-18:6042|2026-08-18:6042|2026-09-18:6042|2026-10-18:6042|2026-11-18:6042|2026-12-18:6042|2027-01-18:6042|2027-02-18:6042|2027-03-18:6042|2027-04-18:6042|2027-05-18:6042|2027-06-18:6042|2027-07-18:6042|2027-08-18:6042|2027-09-18:6042,2026-06-15,none,"Use 18 installments of INR 6,042, starting 18 April 2026. This leaves at least INR 121,318.84 available."
request_85,371322.01,affordable_later,wait,2024-03-15:19304000,2024-03-15,none,"Pay IDR 19,304,000 in full on 15 March 2024. Paying earlier would take the balance below the IDR 6,396,300 minimum."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 88,852.69 available over the next 90 days."
request_87,22265.1,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 185,900 minimum protected."
request_88,10759.01,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-14:9045.23|2024-08-14:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 27,513.78 available."
request_89,9317818.31,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-18:4768746.67|2026-01-18:4768746.67,2026-01-15,none,"Use 3 installments of IDR 4,768,746.67, starting 18 November 2025. This leaves at least IDR 15,234,237.24 available."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 28,377.18 available over the next 90 days."
request_91,314.76,affordable_with_plan,installments,2024-09-10:108.29|2024-10-10:108.29|2024-11-10:108.29|2024-12-10:108.29|2025-01-10:108.29|2025-02-10:108.29|2025-03-10:108.29|2025-04-10:108.29|2025-05-10:108.29|2025-06-10:108.29|2025-07-10:108.29|2025-08-10:108.29|2025-09-10:108.29|2025-10-10:108.29|2025-11-10:108.29|2025-12-10:108.29|2026-01-10:108.29|2026-02-10:108.29|2026-03-10:108.29|2026-04-10:108.29|2026-05-10:108.29,2024-11-15,none,"Use 21 installments of EUR 108.29, starting 10 September 2024. This leaves at least EUR 2,306.47 available."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 29,911.62 available over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,990.76 available over the next 90 days."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"Pay EUR 572 today. This leaves at least EUR 2,038.25 available over the next 90 days."
request_95,5140.78,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2025. None of the available options keeps the INR 145,500 minimum protected."
request_96,72680.29,affordable_with_plan,installments,2026-01-17:5712.67|2026-02-17:5712.67|2026-03-17:5712.67|2026-04-17:5712.67|2026-05-17:5712.67|2026-06-17:5712.67|2026-07-17:5712.67|2026-08-17:5712.67|2026-09-17:5712.67|2026-10-17:5712.67|2026-11-17:5712.67|2026-12-17:5712.67|2027-01-17:5712.67|2027-02-17:5712.67|2027-03-17:5712.67|2027-04-17:5712.67|2027-05-17:5712.67|2027-06-17:5712.67,2026-02-15,none,"Use 18 installments of INR 5,712.67, starting 17 January 2026. This leaves at least INR 129,180.29 available."
request_97,1543.67,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-19:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 31,243.67 available."
request_98,8980.7,affordable_with_plan,installments,2025-08-10:1990.85|2025-09-10:1990.85|2025-10-10:1990.85|2025-11-10:1990.85|2025-12-10:1990.85|2026-01-10:1990.85|2026-02-10:1990.85|2026-03-10:1990.85|2026-04-10:1990.85|2026-05-10:1990.85|2026-06-10:1990.85|2026-07-10:1990.85|2026-08-10:1990.85|2026-09-10:1990.85|2026-10-10:1990.85,2025-10-15,none,"Use 15 installments of ZAR 1,990.85, starting 10 August 2025. This leaves at least ZAR 36,989.85 available."
request_99,17510.79,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-04,stop:event_9188,"Stop the streaming, then pay ZAR 18,062 today. This leaves at least ZAR 49,600.39 available."
request_100,25197.46,affordable_with_plan,installments,2024-06-20:2085.45|2024-07-20:2085.45|2024-08-20:2085.45|2024-09-20:2085.45|2024-10-20:2085.45|2024-11-20:2085.45|2024-12-20:2085.45|2025-01-20:2085.45|2025-02-20:2085.45|2025-03-20:2085.45|2025-04-20:2085.45|2025-05-20:2085.45|2025-06-20:2085.45|2025-07-20:2085.45|2025-08-20:2085.45|2025-09-20:2085.45|2025-10-20:2085.45|2025-11-20:2085.45|2025-12-20:2085.45|2026-01-20:2085.45|2026-02-20:2085.45,2024-07-15,none,"Use 21 installments of ZAR 2,085.45, starting 20 June 2024. This leaves at least ZAR 57,697.46 available."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 203,810.30 available over the next 90 days."
request_102,1716.0,affordable_now,full_payment,2026-04-05:1716,2026-04-05,none,"Pay EUR 1,716 today. This leaves at least EUR 2,776.38 available over the next 90 days."
request_103,3460.44,not_affordable,not_recommended,none,,none,"Do not make this payment by 07 October 2024. None of the available options keeps the INR 125,500 minimum protected."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 29,462.33 available over the next 90 days."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Pay INR 53,500 today. This leaves at least INR 76,309.42 available over the next 90 days."
request_106,461.35,affordable_with_plan,installments,2024-12-06:124.05|2025-01-06:124.05|2025-02-06:124.05|2025-03-06:124.05|2025-04-06:124.05|2025-05-06:124.05|2025-06-06:124.05|2025-07-06:124.05|2025-08-06:124.05|2025-09-06:124.05|2025-10-06:124.05|2025-11-06:124.05|2025-12-06:124.05|2026-01-06:124.05|2026-02-06:124.05|2026-03-06:124.05|2026-04-06:124.05|2026-05-06:124.05|2026-06-06:124.05|2026-07-06:124.05|2026-08-06:124.05,2025-02-15,none,"Use 21 installments of EUR 124.05, starting 06 December 2024. This leaves at least EUR 1,537.30 available."
